売りたい家の数,0,買いたい家の数,0,,,,
売れた家の数,0,買えた家の数,0,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
取引なし,,,,,,,
総取引における距離の平均,,,,,,,
売りたい家の数,0,買いたい家の数,0,,,,
売れた家の数,0,買えた家の数,0,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
取引なし,,,,,,,
総取引における距離の平均,,,,,,,
売りたい家の数,0,買いたい家の数,0,,,,
売れた家の数,0,買えた家の数,0,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
取引なし,,,,,,,
総取引における距離の平均,,,,,,,
売りたい家の数,0,買いたい家の数,0,,,,
売れた家の数,0,買えた家の数,0,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
取引なし,,,,,,,
総取引における距離の平均,,,,,,,
売りたい家の数,0,買いたい家の数,0,,,,
売れた家の数,0,買えた家の数,0,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
取引なし,,,,,,,
総取引における距離の平均,,,,,,,
売りたい家の数,23,買いたい家の数,6,,,,
売れた家の数,6,買えた家の数,6,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Hoover,Taylor,2500,257501,1,2,,
Adams,Hayes,2000,232701,1,4,,
Buchanan,Arthur,3500,247901,1,3,,
Grant,Buren,1000,74800,1,5,,
Garfield,Lincoln,3500,33801,1,6,,
Harrison,Mckinley,500,309801,1,1,,
総取引における距離の平均,2166,合算地,13000,何番目に好きな人に売れたの平均,3,何番目に好きな人から買えたの平均,1
売りたい家の数,18,買いたい家の数,11,,,,
売れた家の数,11,買えた家の数,11,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Carter,Harrison,1500,302401,1,3,,
Obama,Jefferson,2500,45801,1,10,,
Madison,Cleveland,2500,26401,1,11,,
Monroe,Garfield,3000,108001,1,8,,
Jackson,Clinton,2500,198000,2,1,,
Buren,Grant,1000,94401,2,9,,
Taylor,Buchanan,1000,264801,3,4,,
Lincoln,Fillmore,2000,108001,1,7,,
Hayes,Pierce,2000,218701,3,5,,
Mckinley,Polk,2500,302401,2,2,,
総取引における距離の平均,2050,合算地,20500,何番目に好きな人に売れたの平均,6,何番目に好きな人から買えたの平均,1
売りたい家の数,12,買いたい家の数,10,,,,
売れた家の数,10,買えた家の数,10,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Reagan,Obama,1500,69801,5,8,,
Ford,Taft,1500,115201,1,1,,
Clinton,Jackson,2500,348001,1,5,,
Coolidge,Roosevelt,1500,74800,1,7,,
Jefferson,Adams,1500,45801,6,9,,
Polk,Carter,2500,336001,2,2,,
Fillmore,Jackson,1000,168001,6,5,,
Pierce,Nixson,3000,309801,3,3,,
Arthur,Adams,2000,309801,4,9,,
Cleveland,Monroe,2000,33801,2,10,,
総取引における距離の平均,1900,合算地,19000,何番目に好きな人に売れたの平均,5,何番目に好きな人から買えたの平均,3
売りたい家の数,9,買いたい家の数,7,,,,
